cancer_type,drug_type,phase,enrollment_size,trial_duration_months,sponsor_type,outcome
pancreatic,chemotherapy,II,1515.0,66.0,industry,0
prostate,combination,II,214.0,101.0,industry,1
ovarian,hormone_therapy,III,1713.0,17.0,industry,1
leukemia,radiation,I,1031.0,118.0,industry,0
pancreatic,combination,III,672.0,18.0,academic,1
renal,targeted_therapy,I,1318.0,24.0,government,0
colorectal,immunotherapy,I,26.0,49.0,industry,0
pancreatic,hormone_therapy,III,924.0,117.0,industry,0
ovarian,targeted_therapy,III,998.0,94.0,academic,1
leukemia,radiation,III,585.0,100.0,government,1
prostate,chemotherapy,III,635.0,64.0,academic,1
ovarian,radiation,IV,1897.0,42.0,government,0
ovarian,combination,I,1893.0,30.0,industry,1
colorectal,immunotherapy,I,592.0,21.0,academic,0
melanoma,combination,I,618.0,43.0,industry,0
leukemia,hormone_therapy,II,789.0,48.0,industry,1
breast,hormone_therapy,III,1221.0,118.0,industry,1
ovarian,immunotherapy,III,261.0,92.0,industry,1
melanoma,targeted_therapy,I,1246.0,19.0,government,0
breast,targeted_therapy,IV,1586.0,11.0,government,1
leukemia,hormone_therapy,III,1844.0,94.0,industry,0
lung,hormone_therapy,II,1505.0,28.0,industry,0
renal,chemotherapy,I,1123.0,65.0,industry,0
melanoma,targeted_therapy,II,1566.0,112.0,industry,1
bladder,immunotherapy,I,1460.0,17.0,academic,0
lung,targeted_therapy,I,785.0,18.0,government,0
renal,chemotherapy,III,403.0,105.0,government,1
colorectal,combination,II,410.0,108.0,academic,0
pancreatic,hormone_therapy,II,915.0,103.0,academic,0
prostate,hormone_therapy,IV,1842.0,11.0,industry,1
bladder,chemotherapy,III,707.0,68.0,industry,1
colorectal,immunotherapy,IV,1169.0,43.0,industry,1
leukemia,hormone_therapy,I,1537.0,55.0,academic,1
colorectal,radiation,II,66.0,57.0,academic,0
pancreatic,hormone_therapy,III,1761.0,45.0,industry,0
leukemia,radiation,I,1519.0,13.0,industry,1
bladder,chemotherapy,I,1992.0,66.0,industry,0
pancreatic,chemotherapy,III,638.0,13.0,government,1
breast,hormone_therapy,III,483.0,109.0,industry,1
prostate,targeted_therapy,II,1830.0,102.0,academic,1
bladder,radiation,II,1892.0,39.0,academic,1
breast,immunotherapy,II,142.0,113.0,industry,1
renal,hormone_therapy,I,1517.0,84.0,academic,1
bladder,immunotherapy,II,153.0,105.0,government,0
renal,hormone_therapy,II,1662.0,65.0,industry,0
leukemia,targeted_therapy,I,1860.0,62.0,government,0
breast,targeted_therapy,IV,860.0,104.0,industry,1
prostate,targeted_therapy,III,1605.0,51.0,industry,1
pancreatic,combination,III,868.0,27.0,government,0
ovarian,targeted_therapy,II,626.0,92.0,academic,0
colorectal,chemotherapy,II,1823.0,45.0,government,0
lung,chemotherapy,II,42.0,50.0,academic,0
prostate,combination,I,585.0,60.0,government,1
breast,radiation,II,1929.0,56.0,academic,1
ovarian,immunotherapy,III,785.0,91.0,academic,1
prostate,hormone_therapy,III,984.0,10.0,academic,1
breast,hormone_therapy,III,254.0,100.0,industry,1
melanoma,combination,II,1015.0,18.0,government,0
melanoma,chemotherapy,IV,1102.0,33.0,industry,1
renal,hormone_therapy,I,1207.0,89.0,industry,0
prostate,chemotherapy,II,1814.0,102.0,industry,1
melanoma,radiation,II,845.0,85.0,academic,0
breast,immunotherapy,III,235.0,67.0,industry,1
renal,radiation,IV,1226.0,98.0,industry,1
breast,combination,II,1612.0,92.0,government,0
renal,targeted_therapy,III,676.0,29.0,industry,1
prostate,targeted_therapy,III,954.0,103.0,academic,1
ovarian,targeted_therapy,II,1133.0,12.0,industry,1
pancreatic,radiation,II,330.0,43.0,industry,0
bladder,hormone_therapy,II,576.0,42.0,industry,1
ovarian,immunotherapy,IV,991.0,73.0,academic,1
leukemia,targeted_therapy,II,276.0,103.0,industry,1
breast,combination,III,552.0,47.0,government,1
leukemia,combination,II,1576.0,91.0,industry,1
ovarian,targeted_therapy,III,71.0,10.0,industry,1
renal,targeted_therapy,II,1381.0,69.0,industry,1
bladder,immunotherapy,III,1214.0,55.0,industry,1
bladder,targeted_therapy,III,1991.0,111.0,academic,1
lung,immunotherapy,III,1110.0,92.0,government,1
bladder,combination,III,1668.0,20.0,academic,1
pancreatic,targeted_therapy,I,319.0,100.0,industry,0
bladder,radiation,III,691.0,78.0,industry,1
ovarian,radiation,I,797.0,112.0,industry,0
lung,combination,II,851.0,58.0,government,0
ovarian,immunotherapy,III,251.0,30.0,industry,1
ovarian,radiation,II,994.0,94.0,academic,0
colorectal,immunotherapy,III,1880.0,118.0,industry,1
lung,radiation,IV,1111.0,90.0,industry,1
ovarian,radiation,I,1549.0,14.0,industry,0
colorectal,immunotherapy,III,47.0,117.0,industry,1
colorectal,hormone_therapy,II,1992.0,43.0,academic,0
lung,radiation,I,1671.0,27.0,industry,0
leukemia,targeted_therapy,II,1094.0,112.0,academic,1
renal,combination,IV,1736.0,92.0,industry,1
pancreatic,hormone_therapy,III,1303.0,54.0,government,0
renal,immunotherapy,IV,610.0,73.0,industry,1
bladder,hormone_therapy,IV,804.0,98.0,government,0
pancreatic,chemotherapy,II,639.0,20.0,academic,0
bladder,chemotherapy,II,605.0,70.0,government,1
ovarian,radiation,III,1730.0,59.0,industry,1
breast,radiation,II,1021.0,35.0,academic,0
lung,targeted_therapy,II,203.0,98.0,industry,1
pancreatic,combination,II,1066.0,25.0,industry,1
pancreatic,hormone_therapy,III,1829.0,38.0,industry,1
ovarian,chemotherapy,III,148.0,110.0,industry,0
leukemia,radiation,II,310.0,113.0,government,0
colorectal,combination,II,1875.0,105.0,industry,1
ovarian,hormone_therapy,III,520.0,91.0,academic,1
melanoma,radiation,III,205.0,82.0,academic,0
colorectal,radiation,II,498.0,12.0,industry,0
lung,chemotherapy,III,1614.0,13.0,academic,0
colorectal,chemotherapy,I,511.0,33.0,industry,0
leukemia,radiation,II,532.0,50.0,academic,0
colorectal,immunotherapy,III,1686.0,112.0,industry,1
lung,radiation,III,1110.0,78.0,government,1
leukemia,combination,II,1848.0,94.0,academic,1
renal,radiation,III,486.0,85.0,government,0
pancreatic,targeted_therapy,III,304.0,79.0,industry,1
pancreatic,targeted_therapy,III,620.0,16.0,industry,0
bladder,targeted_therapy,III,1460.0,36.0,industry,1
renal,immunotherapy,III,1143.0,17.0,industry,1
renal,immunotherapy,II,208.0,100.0,industry,1
colorectal,radiation,I,1008.0,83.0,academic,0
pancreatic,targeted_therapy,II,909.0,56.0,industry,0
lung,immunotherapy,II,1901.0,49.0,industry,1
prostate,chemotherapy,III,407.0,101.0,government,0
prostate,radiation,III,260.0,55.0,academic,1
leukemia,combination,II,1825.0,22.0,industry,1
pancreatic,hormone_therapy,I,1774.0,40.0,industry,0
pancreatic,radiation,II,436.0,6.0,industry,0
prostate,hormone_therapy,II,1961.0,34.0,industry,1
pancreatic,targeted_therapy,III,195.0,56.0,academic,0
colorectal,hormone_therapy,I,406.0,69.0,industry,0
melanoma,targeted_therapy,III,1514.0,9.0,government,1
breast,chemotherapy,IV,872.0,92.0,academic,1
renal,hormone_therapy,II,1276.0,33.0,academic,0
bladder,radiation,II,682.0,21.0,industry,0
leukemia,targeted_therapy,I,471.0,68.0,industry,1
melanoma,radiation,III,296.0,81.0,academic,1
prostate,immunotherapy,III,1272.0,58.0,industry,1
renal,targeted_therapy,II,1214.0,90.0,industry,1
pancreatic,hormone_therapy,III,1778.0,114.0,industry,1
bladder,targeted_therapy,III,232.0,22.0,industry,1
pancreatic,radiation,II,1325.0,45.0,academic,0
lung,chemotherapy,I,60.0,18.0,industry,0
lung,targeted_therapy,III,1165.0,57.0,industry,1
bladder,hormone_therapy,III,1270.0,63.0,industry,1
bladder,immunotherapy,III,313.0,101.0,academic,1
prostate,combination,III,619.0,42.0,government,1
bladder,chemotherapy,III,1310.0,119.0,government,0
colorectal,immunotherapy,II,560.0,84.0,industry,1
pancreatic,targeted_therapy,III,1802.0,81.0,industry,1
melanoma,radiation,IV,1871.0,66.0,industry,1
ovarian,radiation,III,470.0,118.0,academic,1
bladder,hormone_therapy,II,1492.0,84.0,academic,0
leukemia,radiation,II,1799.0,39.0,academic,0
lung,chemotherapy,II,1104.0,75.0,industry,1
colorectal,radiation,II,1545.0,22.0,academic,0
renal,hormone_therapy,II,1190.0,117.0,industry,1
ovarian,combination,III,1729.0,118.0,academic,1
melanoma,targeted_therapy,III,1988.0,25.0,industry,1
ovarian,targeted_therapy,II,809.0,78.0,academic,1
bladder,radiation,III,353.0,64.0,industry,1
prostate,immunotherapy,I,1924.0,74.0,industry,1
lung,targeted_therapy,I,1996.0,92.0,academic,0
lung,combination,II,910.0,38.0,industry,0
renal,radiation,III,1185.0,107.0,academic,0
prostate,hormone_therapy,II,63.0,83.0,academic,0
pancreatic,combination,II,163.0,22.0,academic,0
breast,radiation,II,1908.0,62.0,industry,1
colorectal,combination,III,352.0,88.0,industry,1
lung,targeted_therapy,I,1017.0,102.0,academic,1
leukemia,hormone_therapy,III,1540.0,6.0,industry,1
lung,radiation,III,1439.0,18.0,academic,0
ovarian,chemotherapy,III,74.0,115.0,industry,0
lung,hormone_therapy,IV,1350.0,32.0,industry,1
lung,chemotherapy,I,889.0,75.0,industry,0
breast,combination,II,1466.0,64.0,industry,1
breast,immunotherapy,III,1460.0,11.0,industry,1
melanoma,hormone_therapy,II,1716.0,102.0,academic,1
pancreatic,combination,III,816.0,99.0,academic,0
leukemia,chemotherapy,III,344.0,115.0,industry,1
lung,targeted_therapy,III,1753.0,104.0,government,1
lung,targeted_therapy,IV,1714.0,28.0,industry,1
colorectal,immunotherapy,IV,99.0,15.0,government,0
breast,hormone_therapy,III,1074.0,56.0,academic,1
leukemia,hormone_therapy,II,1004.0,24.0,academic,0
renal,hormone_therapy,III,1155.0,56.0,industry,1
melanoma,combination,I,577.0,97.0,industry,1
pancreatic,immunotherapy,II,884.0,92.0,industry,0
